timestamp,title,url,occ_relevant,gwa,iwa,dwa,task,deployability,workflow_auto,notes
2025-12-11 23:55:34,MCP Lab,https://mcp.so/server/mcp-lab/LPFerreira33,Yes,Providing Consultation and Advice to Others; Working with Computers,"Advise others on the design or use of technologies.; Set up computer systems, networks, or other information systems.",Provide technical support for software maintenance or use.; Configure computer networks.; Install programs onto computer or computer-controlled equipment.,Configure servers to meet functional specifications.; Develop or implement electronic maintenance programs or computer information management systems.; Provide technical guidance or support for the development or troubleshooting of systems.,2; 2; 3,3,MCP automated workflows are touched here
2025-12-11 23:26:10,mcp-server-rubygems,https://mcp.so/server/mcp-server-rubygems/6,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.; Search information sources to find specific data.,"Search electronic sources, such as databases or repositories, or manual sources for information.; Locate unusual or unique information in response to specific requests.",5; 4,2,"Can help more web type stuff, but more in just seeing documentation"
2025-12-11 23:46:43,Stability AI MCP Server,https://mcp.so/server/mcp-server-stability-ai/tadasant,Yes,Thinking Creatively,Create visual designs or displays.,"Create computer-generated graphics or animation.; Create images of data, locations, or products.; Create images or other visual displays.","Create two-dimensional and three-dimensional images depicting objects in motion or illustrating a process, using computer animation or modeling programs.; Make objects or characters appear lifelike by manipulating light, color, texture, shadow, and transparency, or manipulating static images to give the illusion of motion.; Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.; Use computer software to generate new images.",3; 3; 4; 6,9,
2025-12-10 0:55:45,SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Yes,"Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings",Analyze data to improve operations.; Analyze performance of systems or equipment.; Monitor operation of computer or information technologies.,"Analyze data to identify or resolve operational problems.; Analyze security of systems, network, or data.; Monitor computer system performance to ensure proper operation.; Monitor the performance of computer networks.","Analyze network data to determine network usage, disk space availability, or server function.; Monitor and analyze network performance and reports on data input or output to detect problems, identify inefficient use of computer resources, or perform capacity planning.; Monitor and analyze system performance, such as network traffic, security, and capacity.; Monitor functioning of equipment to ensure system operates in conformance with specifications.; Monitor program performance to ensure efficient and problem-free operations.; Monitor system operation to detect potential problems.; Oversee the daily performance of computer systems.; Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.",5; 4; 5; 5; 5; 7; 5; 5,9,It allows one to use the functionality of Sumo which I incorporated into my answers.
2025-12-11 23:39:54,MCP-testing: OpenWebUI + mcpo Integration,https://mcp.so/server/MCP-testing/cycloarcane,Yes,Providing Consultation and Advice to Others,Advise others on the design or use of technologies.,Provide technical support for software maintenance or use.,Provide technical guidance or support for the development or troubleshooting of systems.,2,3,Applies to all multi mcp automation workflows
2025-12-09 22:47:12,SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Yes,Documenting/Recording Information,Maintain operational records.,Maintain data in information systems or databases.; Record research or operational data.,Enter logistics-related data into databases.; Input data into databases.,4; 6,5,
2025-12-11 19:30:14,mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Search electronic sources, such as databases or repositories, or manual sources for information.",5,3,
2025-12-11 22:16:02,Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Yes,Working with Computers,"Set up computer systems, networks, or other information systems.",Configure computer networks.,Coordinate and link the computer systems within an organization to increase compatibility so that information can be shared.,3,8,
2025-12-12 0:25:02,Python Shopify MCP Server for Claude,https://mcp.so/server/shopify-mcp-server/abhi-mahule,Yes,Analyzing Data or Information; Getting Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyze business or financial data.; Analyze data to improve operations.; Gather information from physical or electronic sources.; Determine values or prices of goods or services.; Advise others on business or operational matters.; Advise others on products or services.,Advise others on business or operational matters.; Advise customers on the use of products or services.; Recommend products or services to customers.; Analyze business or financial data.; Apply mathematical models of financial or business conditions.; Analyze data to inform operational decisions or activities.; Determine the value of goods or services.; Retrieve information from electronic sources.,"Advise customers on product usage to improve production.; Recommend and provide advice on a wide variety of products and services.; Identify quality problems and recommend solutions.; Recommend disposal of excess, defective, or obsolete stock.; Recommend mark-up rates, mark-down rates, or merchandise selling prices.; Recommend new systems and processes to improve operations.; Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.; Analyze data gathered and develop solutions or alternative methods of proceeding.; Analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.; Analyze price proposals, financial reports, and other data and information to determine reasonable prices.; Inform financial decisions by analyzing financial information to forecast business, industry, or economic conditions.; Measure and analyze Web site usage data to maximize search engine returns or refine customer interfaces.; Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.; Search electronic sources, such as databases or repositories, or manual sources for information.",5; 5; 4; 3; 3; 4; 3; 4; 3; 3; 3; 3; 3; 5,4,It's really only applicable to e commerce in shopify. Also I assumed that customers could also be the users of the shopify product too
2025-12-11 23:07:32,Sonar MVP Server,https://mcp.so/server/sonar-mcp-server/lreimer,Yes,Analyzing Data or Information; Providing Consultation and Advice to Others,Analyze performance of systems or equipment.; Advise others on the design or use of technologies.,"Recommend changes to improve computer or information systems.; Analyze security of systems, network, or data.","Assess blockchain threats, such as untested code and unprotected keys.; Perform security analyses of developed or packaged software components.; Provide feedback and recommendations to developers on software usability and functionality.; Recommend information security enhancements to management.",1; 1; 1; 1,7,
2025-12-10 1:03:44,Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Yes,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,"Provide information or assistance to the public.; Provide information to guests, clients, or customers.; Perform administrative or clerical activities.; Promote products, services, or programs.; Sell products or services.","Contact current or potential customers to promote products or services.; Market products, services, or events.; Promote agricultural or hunting activities.; Promote educational institutions or programs.; Promote environmental sustainability or conservation initiatives.; Promote products, activities, or organizations.; Promote products, services, or programs.; Answer telephones to direct calls or provide information.; Provide customers with general information or assistance.; Provide notifications to customers or patrons.","Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.; Answer incoming phone calls.; Answer patients' calls and determine how to assist them.; Answer phone calls and direct calls to appropriate parties or take messages.; Answer routine inquiries, and refer calls not requiring dispatches to appropriate departments and agencies.; Answer telephone calls from potential customers who have been solicited through advertisements.; Answer telephone calls to take messages, answer questions, and provide information during non-business hours or when switchboard is closed.; Answer telephone inquiries, referring callers to pharmacist when necessary.; Answer telephones and assist customers with their questions.; Answer telephones and direct calls to appropriate staff.; Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.; Answer telephones, direct calls, and take messages.; Interview clients and take their calls to provide customer service and obtain information on claims.; Listen to customer requests, referring to alphabetical or geographical directories to answer questions and provide telephone information.; Operate telephone switchboard to answer, screen, or forward calls, providing information, taking messages, or scheduling appointments.; Receive and place telephone calls.; Receive incoming telephone or alarm system calls regarding emergency and non-emergency police and fire service, emergency ambulance service, information, and after-hours calls for departments within a city.; Contact businesses or private individuals by telephone to solicit sales for goods or services, or to request donations for charitable causes.; Attempt to sell additional merchandise or services to prospective or current customers by telephone or through visits.; Answer telephone calls and respond to inquiries or transfer calls.; Inform customers by mail or telephone of order information, such as unit prices, shipping dates, and any anticipated delays.; Use telephone to deliver verbal messages.",3; 4; 3; 3; 3; 3; 4; 3; 3; 4; 3; 3; 3; 3; 3; 4; 3; 3; 3; 3; 3; 4,10,If it had or telephone I marked that task
2025-12-12 0:34:30,Web Content MCP,https://mcp.so/server/web-content-mcp/hmalfee,Yes,Documenting/Recording Information; Getting Information; Processing Information,"Collect data about consumer needs or opinions.; Gather information for news stories.; Gather information from physical or electronic sources.; Research agricultural processes or practices.; Research biological or ecological phenomena.; Research healthcare issues.; Research historical or social issues.; Research issues related to earth sciences.; Research organizational behavior, processes, or performance.; Research technology designs or applications.",,,,7,"No specific task, but used for all things that involve regular web searching"
