task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.",Surveyors,2896,1.54,1.0,4,1,1.0,2.0
Collaborate with software developers in the development and modification of commercial bioinformatics software.,Bioinformatics Scientists,2268,1.96,2.0,4,1,1.0,2.0
Confer with information technology specialists to develop computer applications for genetic data analysis.,Geneticists,2268,1.66,2.0,3,1,1.0,2.0
"Consult with remote sensing scientists, surveyors, cartographers, or engineers to determine project needs.",Remote Sensing Technicians,2268,1.36,1.0,3,1,1.0,2.0
Develop software to control electrical systems.,Electrical Engineers,2206,1.82,2.0,4,1,1.0,2.0
"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",Bioinformatics Scientists,2091,1.61,2.0,3,1,1.0,2.0
Create or modify web-based bioinformatics tools.,Bioinformatics Scientists,2080,2.36,2.0,4,1,2.0,3.0
Test new and updated bioinformatics tools and software.,Bioinformatics Scientists,2080,2.27,2.0,4,1,2.0,3.0
Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,Social Science Research Assistants,2080,2.25,2.0,4,1,2.0,3.0
Develop new software applications or customize existing applications to meet specific scientific project needs.,Bioinformatics Scientists,2080,2.2,2.0,4,1,2.0,3.0
"Provide statistical and computational tools for biologically based activities, such as genetic analysis, measurement of gene expression, or gene function determination.",Bioinformatics Scientists,2080,2.09,2.0,5,1,1.0,3.0
Develop specialized computer software routines to customize and integrate image analysis.,Remote Sensing Technicians,2080,2.08,2.0,4,1,1.0,3.0
Improve user interfaces to bioinformatics software and databases.,Bioinformatics Scientists,2080,2.08,2.0,4,1,2.0,3.0
"Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.",Bioinformatics Scientists,2080,2.02,2.0,4,1,1.0,3.0
Create novel computational approaches and analytical tools as required by research goals.,Bioinformatics Scientists,2080,2.0,2.0,4,1,1.0,3.0
"Develop automated routines to correct for the presence of image distorting artifacts, such as ground vegetation.",Remote Sensing Scientists and Technologists,2080,1.92,2.0,4,1,1.0,3.0
Develop applied software for the analysis and interpretation of geological data.,"Geoscientists, Except Hydrologists and Geographers",2080,1.91,2.0,4,1,1.0,2.25
"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",Geographers,2080,1.78,2.0,4,1,1.0,2.0
Develop instrumentation and software for astronomical observation and analysis.,Astronomers,2080,1.71,2.0,4,1,1.0,2.0
Provide geographical information systems support to the private and public sectors.,Geographers,2080,1.7,2.0,3,1,1.0,2.0
"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Computer Network Architects,1771,1.93,2.0,4,1,1.0,3.0
"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Computer Systems Analysts,1699,2.46,3.0,4,1,2.0,3.0
Develop Web sites.,Computer Programmers,1613,2.64,3.0,5,1,2.0,3.0
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Computer Programmers,1593,2.14,2.0,4,1,1.0,3.0
"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",Software Quality Assurance Analysts and Testers,1533,2.25,2.0,5,1,2.0,3.0
"Identify, analyze, and document problems with program function, output, online screen, or content.",Software Quality Assurance Analysts and Testers,1515,2.18,2.0,5,1,2.0,3.0
Evaluate and recommend upgrades or improvements to existing computerized healthcare systems.,Health Information Technologists and Medical Registrars,1481,1.48,1.0,3,1,1.0,2.0
"Identify program deviance from standards, and suggest modifications to ensure compliance.",Software Quality Assurance Analysts and Testers,1463,2.0,2.0,4,1,1.5,2.0
"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",Software Quality Assurance Analysts and Testers,1319,2.52,3.0,5,1,2.0,3.0
"Design, configure, and test computer hardware, networking software and operating system software.",Network and Computer Systems Administrators,1312,2.21,2.0,5,1,2.0,3.0
Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Telecommunications Engineering Specialists,1301,1.85,2.0,4,1,1.0,2.0
"Test computer software or hardware, using standard diagnostic testing equipment and procedures.",Computer Network Support Specialists,1283,2.38,3.0,4,1,2.0,3.0
Design and conduct hardware or software tests.,Computer Systems Engineers/Architects,1283,2.23,2.0,4,1,2.0,3.0
"Develop, validate, and document test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.",Web and Digital Interface Designers,1272,2.35,2.0,5,1,1.0,3.0
Write supporting code for Web applications or Web sites.,Web Developers,1271,2.8,3.0,5,1,2.0,4.0
Write supporting code for Web applications or Web sites.,Web and Digital Interface Designers,1271,2.8,3.0,5,1,2.0,4.0
"Develop transactional Web applications, using Web programming software and knowledge of programming languages, such as hypertext markup language (HTML) and extensible markup language (XML).",Search Marketing Strategists,1271,2.67,3.0,5,1,2.0,3.0
"Perform Web site tests according to planned schedules, or after any Web site or product revision.",Web Developers,1264,2.62,3.0,5,1,2.0,3.0
"Perform Web site tests according to planned schedules, or after any Web site or product revision.",Web and Digital Interface Designers,1264,2.57,3.0,5,1,2.0,3.0
Test new software packages for use in Web operations or other applications.,Web Administrators,1264,2.48,3.0,4,1,2.0,3.0
Test software systems or applications for software enhancements or new products.,Data Warehousing Specialists,1264,2.48,3.0,4,1,2.0,3.0
Conduct trial runs of programs and software applications to be sure they will produce the desired information and that the instructions are correct.,Computer Programmers,1264,2.27,2.0,4,1,2.0,3.0
"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Web Developers,1264,2.22,2.0,4,1,2.0,3.0
Enter commands and observe system functioning to verify correct operations and detect errors.,Computer User Support Specialists,1264,2.05,2.0,4,1,1.75,3.0
Coordinate user or third-party testing.,Software Quality Assurance Analysts and Testers,1264,1.69,2.0,3,1,1.0,2.0
Oversee gameplay testing to ensure intended gaming experience and game adherence to original vision.,Video Game Designers,1264,1.26,1.0,4,1,1.0,1.0
Visit beta testing sites to evaluate software performance.,Software Quality Assurance Analysts and Testers,1264,1.24,1.0,3,1,1.0,1.0
Conduct regular design reviews throughout the game development process.,Video Game Designers,1264,1.17,1.0,3,1,1.0,1.0
"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Data Warehousing Specialists,1228,2.44,3.0,4,1,2.0,3.0
"Investigate or resolve operational problems, such as material use variances or bottlenecks.",Manufacturing Engineers,1221,1.32,1.0,4,1,1.0,2.0
"Prepare, manipulate, and manage extensive databases.",Social Science Research Assistants,1215,3.12,3.0,5,1,3.0,4.0
Develop and maintain computer databases.,Forest and Conservation Technicians,1215,2.81,3.0,5,1,2.0,3.0
Develop or maintain geospatial information databases.,Remote Sensing Technicians,1215,2.8,3.0,5,1,2.0,3.0
"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",Bioinformatics Scientists,1215,2.73,3.0,5,1,2.0,3.0
Develop data models and databases.,Bioinformatics Scientists,1215,2.7,3.0,5,1,2.0,3.0
Design and maintain genetics computer databases.,Geneticists,1215,2.63,3.0,5,1,2.0,3.0
Develop or build databases for remote sensing or related geospatial project information.,Remote Sensing Scientists and Technologists,1215,2.62,3.0,5,1,2.0,3.0
"Design databases, such as mutagenesis libraries.",Molecular and Cellular Biologists,1215,2.53,3.0,5,1,2.0,3.0
"Build and maintain databases of information about energy alternatives, pollutants, natural environments, industrial processes, and other information related to ecological change.",Industrial Ecologists,1215,2.5,3.0,5,1,2.0,3.0
"Design, program, or model Geographic Information Systems (GIS) applications or procedures.",Geographic Information Systems Technologists and Technicians,1213,2.51,3.0,4,1,2.0,3.0
"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",Data Warehousing Specialists,1210,2.69,3.0,5,1,2.0,3.0
Run monthly network reports.,Computer Network Support Specialists,1200,2.97,3.0,5,1,2.0,4.0
Maintain logs of network activity.,Computer Network Support Specialists,1200,2.89,3.0,5,1,2.0,4.0
"Maintain logs related to network functions, as well as maintenance and repair records.",Network and Computer Systems Administrators,1200,2.87,3.0,5,1,2.0,4.0
"Document technical factors such as server load, bandwidth, database performance, and browser and device types.",Web Developers,1200,2.67,3.0,5,1,2.0,3.0
"Document technical factors such as server load, bandwidth, database performance, and browser and device types.",Web and Digital Interface Designers,1200,2.67,3.0,5,1,2.0,3.0
Document network support activities.,Computer Network Support Specialists,1200,2.65,3.0,5,1,2.0,3.0
Create or update technical documentation for network installations or changes to existing installations.,Computer Network Support Specialists,1200,2.63,3.0,5,1,2.0,3.0
Prepare system activity and performance reports.,Telecommunications Engineering Specialists,1200,2.63,3.0,5,1,2.0,3.0
Develop network-related documentation.,Computer Network Architects,1200,2.52,3.0,5,1,2.0,3.0
"Analyze incident data to identify trends in injuries, illnesses, accidents, or other hazards.",Occupational Health and Safety Specialists,1194,1.76,2.0,4,1,1.0,2.0
"Review invoices, work orders, consumption reports, or demand forecasts to estimate peak performance periods and to issue work assignments.","Transportation, Storage, and Distribution Managers",1192,1.61,1.0,4,1,1.0,2.0
"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Software Developers,1189,2.51,3.0,5,1,2.0,3.0
Download completed jobs to archive media so that questions can be answered or jobs replicated.,Printing Press Operators,1181,1.67,1.0,5,1,1.0,2.0
"Download or scan files to be printed, using printing production software.",Printing Press Operators,1181,1.66,1.0,5,1,1.0,2.0
"Design or evaluate human work systems, using human factors engineering and ergonomic principles to optimize usability, cost, quality, safety, or performance.",Human Factors Engineers and Ergonomists,1178,1.16,1.0,3,1,1.0,1.0
Code data in preparation for computer entry.,Social Science Research Assistants,1176,2.33,2.0,4,1,2.0,3.0
"Monitor and analyze system performance, such as network traffic, security, and capacity.",Telecommunications Engineering Specialists,1157,2.71,3.0,4,1,2.0,3.0
Conduct user research to determine design requirements and analyze user feedback to improve design quality.,Web and Digital Interface Designers,1157,1.32,1.0,3,1,1.0,2.0
"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Web Developers,1153,2.84,3.0,5,1,2.0,4.0
"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Web and Digital Interface Designers,1153,2.84,3.0,5,1,2.0,4.0
Develop or document style guidelines for Web site content.,Web Administrators,1144,2.26,2.0,5,1,2.0,3.0
Develop and document style guidelines for Web site content.,Web and Digital Interface Designers,1144,2.25,2.0,5,1,2.0,3.0
"Analyze network data to determine network usage, disk space availability, or server function.",Computer Network Support Specialists,1135,2.78,3.0,5,1,2.0,3.0
"Monitor and analyze network performance and reports on data input or output to detect problems, identify inefficient use of computer resources, or perform capacity planning.",Computer Network Architects,1135,2.72,3.0,4,1,2.0,3.0
"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Health Informatics Specialists,1132,1.84,2.0,4,1,1.0,2.0
"Monitor and evaluate survey progress and performance, using sample disposition reports and response rate calculations.",Survey Researchers,1129,1.7,1.0,5,1,1.0,2.0
Assess the usefulness of pre-developed application packages and adapt them to a user environment.,Computer Systems Analysts,1127,2.04,2.0,4,1,2.0,2.0
"Coordinate with developers to optimize Web site architecture, server configuration, or page construction for search engine consumption and optimal visibility.",Search Marketing Strategists,1126,2.22,2.0,4,1,2.0,3.0
Analyze radio frequency identification device (RFID)-related supply chain data.,Radio Frequency Identification Device Specialists,1126,1.73,1.0,4,1,1.0,2.0
Perform statistical analysis and correction of air or water pollution data submitted by industry or other agencies.,Environmental Engineering Technologists and Technicians,1126,1.64,1.0,4,1,1.0,2.0
Analyze system performance or operational requirements.,Photonics Engineers,1126,1.49,1.0,4,1,1.0,2.0
"Correlate, interpret, and modify data obtained from topographical surveys, well logs, and geophysical prospecting reports.",Architectural and Civil Drafters,1126,1.4,1.0,4,1,1.0,2.0
Analyze control or survey data to ensure adherence to project specifications or land survey standards.,Geodetic Surveyors,1126,1.38,1.0,4,1,1.0,2.0
"Analyze performance of vehicles or components that have been redesigned to increase fuel efficiency, such as camless or dual-clutch engines or alternative types of air-conditioning systems.",Automotive Engineering Technicians,1126,1.36,1.0,4,1,1.0,2.0
"Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency.",Water/Wastewater Engineers,1126,1.33,1.0,4,1,1.0,2.0
"Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",Water/Wastewater Engineers,1126,1.32,1.0,4,1,1.0,2.0
"Perform diagnostic analyses of processing steps, using analytical or metrological tools, such as microscopy, profilometry, or ellipsometry devices.",Photonics Technicians,1126,1.26,1.0,3,1,1.0,1.0
Analyze new medical procedures to forecast likely outcomes.,Bioengineers and Biomedical Engineers,1126,1.12,1.0,3,1,1.0,1.0
"Organize and maintain compliance, license, and warranty information related to audio and video facilities.",Audio and Video Technicians,1106,1.64,1.0,4,1,1.0,2.0
Design and implement dashboard and data visualizations to meet customer reporting needs.,Blockchain Engineers,1097,2.11,2.0,4,1,1.0,3.0
"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",Geographic Information Systems Technologists and Technicians,1086,2.47,3.0,4,1,2.0,3.0
"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",Computer User Support Specialists,1086,1.98,2.0,4,1,2.0,2.0
Evaluate or recommend software for testing or bug tracking.,Software Quality Assurance Analysts and Testers,1085,2.03,2.0,4,1,2.0,2.0
"Evaluate existing systems to determine effectiveness, and suggest changes to meet organizational requirements.",Computer Systems Engineers/Architects,1085,1.95,2.0,4,1,2.0,2.0
"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",Computer Systems Engineers/Architects,1085,1.85,2.0,4,1,1.0,2.0
Evaluate new emerging media or technologies and make recommendations for their application within Internet marketing or search marketing campaigns.,Search Marketing Strategists,1085,1.77,2.0,4,1,1.0,2.0
"Evaluate processes and technologies, and suggest revisions to increase productivity and efficiency.",Clinical Data Managers,1085,1.67,2.0,3,1,1.0,2.0
"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",Network and Computer Systems Administrators,1084,2.16,2.0,5,1,1.0,3.0
Develop and maintain Web sites for online courses.,"Computer Science Teachers, Postsecondary",1059,2.33,2.0,4,1,2.0,3.0
Write computer programs or scripts to be used in querying databases.,Bioinformatics Technicians,1056,2.48,3.0,5,1,1.0,3.0
Design or implement web-based tools for querying large-scale biological databases.,Bioinformatics Technicians,1056,2.44,3.0,4,1,1.0,3.0
"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",Bioinformatics Technicians,1056,2.36,3.0,4,1,1.0,3.0
"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",Bioinformatics Technicians,1056,2.34,3.0,4,1,1.0,3.0
Test new or updated software or tools and provide feedback to developers.,Bioinformatics Technicians,1056,2.22,2.0,4,1,1.0,3.0
Develop or maintain internal or external company Web sites.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1056,2.21,2.0,5,1,1.0,3.0
Design or maintain library web site and online catalogues.,"Library Assistants, Clerical",1056,2.05,2.0,4,1,1.0,3.0
"Identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",Web and Digital Interface Designers,1047,1.92,2.0,4,1,1.0,2.0
"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Computer and Information Systems Managers,1038,1.67,2.0,4,1,1.0,2.0
Set up or maintain monitoring tools on Web servers or Web sites.,Web Administrators,1023,2.51,3.0,5,1,2.0,3.0
"Optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (SEO) or for display and usability on internet-connected devices.",Search Marketing Strategists,1023,2.39,3.0,5,1,2.0,3.0
Create searchable indices for Web page content.,Web and Digital Interface Designers,1023,2.3,2.0,5,1,2.0,3.0
Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,Search Marketing Strategists,1023,2.28,2.0,4,1,2.0,3.0
"Select programming languages, design tools, or applications.",Web Developers,1023,2.27,2.0,4,1,2.0,3.0
"Select programming languages, design tools, or applications.",Web and Digital Interface Designers,1023,2.27,2.0,4,1,2.0,3.0
"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",Search Marketing Strategists,1023,2.26,2.0,4,1,2.0,3.0
Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,Search Marketing Strategists,1023,2.16,2.0,4,1,2.0,3.0
Manage tracking and reporting of search-related activities and provide analyses to marketing executives.,Search Marketing Strategists,1020,2.23,2.0,4,1,1.0,3.0
"Track, compile, and analyze Web site usage data.",Web Administrators,1012,2.55,3.0,5,1,1.0,3.0
"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",Search Marketing Strategists,1012,2.41,2.0,5,1,1.0,3.0
Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,Search Marketing Strategists,1012,2.39,3.0,5,1,1.0,3.0
Combine secondary data sources with keyword research to more accurately profile and satisfy user intent.,Search Marketing Strategists,1012,2.22,2.0,5,1,1.0,3.0
Perform user testing or usage analyses to determine Web sites' effectiveness or usability.,Web Administrators,1012,1.79,2.0,4,1,1.0,2.0
Troubleshoot network or connectivity problems for users or user groups.,Computer Network Support Specialists,998,2.15,2.0,4,1,1.0,3.0
"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",Technical Writers,996,2.01,2.0,4,1,1.0,3.0
"Identify relevant guidance documents, international standards, or consensus standards.",Regulatory Affairs Specialists,996,1.67,2.0,4,1,1.0,2.0
"Test programs or databases, correct errors, and make necessary modifications.",Database Administrators,981,2.8,3.0,5,1,2.0,3.0
"Test programs or databases, correct errors, and make necessary modifications.",Database Architects,981,2.77,3.0,5,1,2.0,3.0
"Review project activities and prepare and review research, testing, or operational reports.",Natural Sciences Managers,979,1.61,2.0,4,1,1.0,2.0
"Compress, digitize, duplicate, and store audio and video data.",Audio and Video Technicians,969,2.41,3.0,5,1,1.0,3.0
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",General and Operations Managers,968,2.06,2.0,4,1,1.0,3.0
"Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.",Funeral Home Managers,968,1.71,2.0,4,1,1.0,2.0
"Observe and record field conditions, gathering, interpreting, and reporting data such as flow meter readings and chemical levels.",Environmental Compliance Inspectors,968,1.28,1.0,4,1,1.0,2.0
"Document software defects, using a bug tracking system, and report defects to software developers.",Software Quality Assurance Analysts and Testers,967,2.13,2.0,5,1,1.0,3.0
"Compile terminology and information to be used in translations, including technical terms such as those for legal or medical material.",Interpreters and Translators,967,1.81,2.0,4,1,1.0,2.0
Compile information on content and context of information to be translated and on intended audience.,Interpreters and Translators,967,1.8,2.0,4,1,1.0,2.0
Create system images or capture network settings from information technology environments to preserve as evidence.,Digital Forensics Analysts,967,1.46,1.0,4,1,1.0,2.0
"Compile scripts, program notes, and other material related to productions.",Producers and Directors,967,1.41,1.0,3,1,1.0,2.0
Compile scores and other athletic records.,"Umpires, Referees, and Other Sports Officials",967,1.28,1.0,3,1,1.0,2.0
"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Software Developers,964,2.75,3.0,5,1,2.0,3.0
"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Software Quality Assurance Analysts and Testers,964,2.75,3.0,5,1,2.0,3.0
"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.",Health Informatics Specialists,961,1.93,2.0,4,1,1.0,2.0
"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",Legislators,960,1.01,1.0,3,1,1.0,1.0
"Confer with users to analyze, configure, or troubleshoot applications.",Geographic Information Systems Technologists and Technicians,959,1.61,2.0,3,1,1.0,2.0
"Confer with users to discuss issues such as computer data access needs, security violations, and programming changes.",Information Security Analysts,959,1.36,1.0,4,1,1.0,2.0
Develop application-specific software.,Computer Systems Engineers/Architects,955,2.57,3.0,5,1,2.0,3.0
Develop software applications or programming for statistical modeling and graphic analysis.,Statisticians,955,2.26,2.0,4,1,1.0,3.0
Develop or select specific software programs for various research scenarios.,Clinical Data Managers,955,2.11,2.0,4,1,1.0,3.0
Develop efficient and effective system controllers.,Computer Systems Engineers/Architects,955,2.02,2.0,4,1,1.0,3.0
Analyze quality control test results and provide feedback and interpretation to production management or staff.,Quality Control Systems Managers,953,1.81,2.0,4,1,1.0,2.0
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Marketing Managers,953,1.73,2.0,4,1,1.0,2.0
"Review registration statistics, and consult with faculty officials to develop registration policies.","Education Administrators, Postsecondary",953,1.49,1.0,4,1,1.0,2.0
"Code, evaluate, or interpret collected study data.",Clinical Research Coordinators,952,1.96,2.0,4,1,1.0,2.0
"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",Industrial Production Managers,951,1.86,2.0,4,1,1.0,3.0
Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,Human Resources Managers,949,1.43,1.0,4,1,1.0,2.0
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Administrative Services Managers,947,1.69,2.0,4,1,1.0,2.0
"Create school improvement plans, using student performance data.","Education Administrators, Kindergarten through Secondary",947,1.68,1.0,4,1,1.0,2.0
"Review work procedures and operational problems to determine ways to improve service, performance, or safety.",Food Service Managers,947,1.59,2.0,4,1,1.0,2.0
"Analyze, manipulate, or process large sets of data using statistical software.",Data Scientists,946,2.65,3.0,5,1,1.0,4.0
"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Supply Chain Managers,946,1.91,2.0,5,1,1.0,3.0
Analyze market and delivery systems to assess present and future material availability.,Purchasing Managers,946,1.8,2.0,4,1,1.0,2.0
Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,"Transportation, Storage, and Distribution Managers",946,1.71,2.0,5,1,1.0,2.0
"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Industrial Production Managers,946,1.63,2.0,4,1,1.0,2.0
"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.",Food Service Managers,946,1.57,1.0,4,1,1.0,2.0
Analyze market conditions to determine acreage allocations.,"Farmers, Ranchers, and Other Agricultural Managers",946,1.38,1.0,4,1,1.0,2.0
Review reports submitted by staff members to recommend approval or to suggest changes.,Chief Executives,946,1.29,1.0,3,1,1.0,2.0
